"Fips","Year","CountyName","PopulationCount"
40017,1990,"CANADIAN",17609
40017,1991,"CANADIAN",17782
40017,1992,"CANADIAN",17804
40017,1993,"CANADIAN",18000
40017,1994,"CANADIAN",18149
40017,1995,"CANADIAN",18321
40017,1996,"CANADIAN",18608
40017,1997,"CANADIAN",18747
40017,1998,"CANADIAN",18796
40017,1999,"CANADIAN",18844
40017,2000,"CANADIAN",19062
40027,1990,"CLEVELAND",46429
40027,1991,"CLEVELAND",47010
40027,1992,"CLEVELAND",47302
40027,1993,"CLEVELAND",47873
40027,1994,"CLEVELAND",48524
40027,1995,"CLEVELAND",48897
40027,1996,"CLEVELAND",49265
40027,1997,"CLEVELAND",50210
40027,1998,"CLEVELAND",50506
40027,1999,"CLEVELAND",50736
40027,2000,"CLEVELAND",50576
40031,1990,"COMANCHE",25634
40031,1991,"COMANCHE",25560
40031,1992,"COMANCHE",27544
40031,1993,"COMANCHE",27052
40031,1994,"COMANCHE",26933
40031,1995,"COMANCHE",26362
40031,1996,"COMANCHE",26361
40031,1997,"COMANCHE",26075
40031,1998,"COMANCHE",25884
40031,1999,"COMANCHE",25513
40031,2000,"COMANCHE",25117
40037,1990,"CREEK",13273
40037,1991,"CREEK",13408
40037,1992,"CREEK",13291
40037,1993,"CREEK",13292
40037,1994,"CREEK",13315
40037,1995,"CREEK",13345
40037,1996,"CREEK",13395
40037,1997,"CREEK",13490
40037,1998,"CREEK",13535
40037,1999,"CREEK",13576
40037,2000,"CREEK",13499
40083,1990,"LOGAN",6577
40083,1991,"LOGAN",6722
40083,1992,"LOGAN",6813
40083,1993,"LOGAN",7006
40083,1994,"LOGAN",7037
40083,1995,"LOGAN",7066
40083,1996,"LOGAN",7066
40083,1997,"LOGAN",7214
40083,1998,"LOGAN",7317
40083,1999,"LOGAN",7421
40083,2000,"LOGAN",7486
40087,1990,"MCCLAIN",4981
40087,1991,"MCCLAIN",5043
40087,1992,"MCCLAIN",5095
40087,1993,"MCCLAIN",5218
40087,1994,"MCCLAIN",5345
40087,1995,"MCCLAIN",5497
40087,1996,"MCCLAIN",5557
40087,1997,"MCCLAIN",5642
40087,1998,"MCCLAIN",5719
40087,1999,"MCCLAIN",5833
40087,2000,"MCCLAIN",5887
40101,1990,"MUSKOGEE",14556
40101,1991,"MUSKOGEE",14646
40101,1992,"MUSKOGEE",14613
40101,1993,"MUSKOGEE",14610
40101,1994,"MUSKOGEE",14633
40101,1995,"MUSKOGEE",14602
40101,1996,"MUSKOGEE",14598
40101,1997,"MUSKOGEE",14518
40101,1998,"MUSKOGEE",14538
40101,1999,"MUSKOGEE",14434
40101,2000,"MUSKOGEE",14300
40109,1990,"OKLAHOMA",143192
40109,1991,"OKLAHOMA",144232
40109,1992,"OKLAHOMA",144815
40109,1993,"OKLAHOMA",145744
40109,1994,"OKLAHOMA",146800
40109,1995,"OKLAHOMA",146863
40109,1996,"OKLAHOMA",147893
40109,1997,"OKLAHOMA",148445
40109,1998,"OKLAHOMA",148471
40109,1999,"OKLAHOMA",149475
40109,2000,"OKLAHOMA",149509
40113,1990,"OSAGE",8539
40113,1991,"OSAGE",8536
40113,1992,"OSAGE",8537
40113,1993,"OSAGE",8626
40113,1994,"OSAGE",8529
40113,1995,"OSAGE",8492
40113,1996,"OSAGE",8497
40113,1997,"OSAGE",8504
40113,1998,"OSAGE",8554
40113,1999,"OSAGE",8507
40113,2000,"OSAGE",8485
40125,1990,"POTTAWATOMIE",13100
40125,1991,"POTTAWATOMIE",13125
40125,1992,"POTTAWATOMIE",13189
40125,1993,"POTTAWATOMIE",13405
40125,1994,"POTTAWATOMIE",13300
40125,1995,"POTTAWATOMIE",13524
40125,1996,"POTTAWATOMIE",13822
40125,1997,"POTTAWATOMIE",13713
40125,1998,"POTTAWATOMIE",14119
40125,1999,"POTTAWATOMIE",14193
40125,2000,"POTTAWATOMIE",14307
40131,1990,"ROGERS",12420
40131,1991,"ROGERS",12614
40131,1992,"ROGERS",12682
40131,1993,"ROGERS",12941
40131,1994,"ROGERS",13010
40131,1995,"ROGERS",13184
40131,1996,"ROGERS",13445
40131,1997,"ROGERS",13766
40131,1998,"ROGERS",14124
40131,1999,"ROGERS",14491
40131,2000,"ROGERS",14942
40143,1990,"TULSA",121624
40143,1991,"TULSA",123258
40143,1992,"TULSA",123524
40143,1993,"TULSA",123448
40143,1994,"TULSA",122965
40143,1995,"TULSA",122395
40143,1996,"TULSA",123267
40143,1997,"TULSA",124297
40143,1998,"TULSA",125246
40143,1999,"TULSA",126065
40143,2000,"TULSA",125433
40145,1990,"WAGONER",11095
40145,1991,"WAGONER",11167
40145,1992,"WAGONER",11157
40145,1993,"WAGONER",11337
40145,1994,"WAGONER",11429
40145,1995,"WAGONER",11530
40145,1996,"WAGONER",11743
40145,1997,"WAGONER",11851
40145,1998,"WAGONER",11982
40145,1999,"WAGONER",12054
40145,2000,"WAGONER",12087
