"Fips","CountyName","Year","Month","FecundPopulation","BirthCount","Date","DaysInMonth","DaysInYear","BirthRateMonthly","BirthRate","BirthRateUnadjustedFrom1990"
40017,"canadian",1990,1,17609,80,1990-01-15,31,365,4.54313135328525,53.4917078693263,4.54313135328525
40017,"canadian",1990,2,17623.4166666667,89,1990-02-15,28,365,5.05009906327281,65.8316485033777,5.05423363052984
40017,"canadian",1990,3,17637.8333333333,89,1990-03-15,31,365,5.04597125497275,59.4122421956469,5.05423363052984
40017,"canadian",1990,4,17652.25,87,1990-04-15,30,365,4.92855018482063,59.964027248651,4.94065534669771
40017,"canadian",1990,5,17666.6666666667,86,1990-05-15,31,365,4.86792452830188,57.3158855751673,4.88386620478165
40017,"canadian",1990,6,17681.0833333333,95,1990-06-15,30,365,5.3729739410764,65.3711829497628,5.39496848202624
40017,"canadian",1990,7,17695.5,98,1990-07-15,31,365,5.5381311632901,65.2070282129318,5.56533590777443
40017,"canadian",1990,8,17709.9166666667,95,1990-08-15,31,365,5.36422625741697,63.1594381921676,5.39496848202624
40017,"canadian",1990,9,17724.3333333333,88,1990-09-15,30,365,4.96492580821094,60.4065973332331,4.99744448861378
40017,"canadian",1990,10,17738.75,100,1990-10-15,31,365,5.63737580156437,66.3755537926128,5.67891419160657
40017,"canadian",1990,11,17753.1666666667,89,1990-11-15,30,365,5.01319013509326,60.9938133103013,5.05423363052984
40017,"canadian",1990,12,17767.5833333333,87,1990-12-15,31,365,4.89655786990353,57.6530200811222,4.94065534669771
40017,"canadian",1991,1,17782,78,1991-01-15,31,365,4.38645821617366,51.6470080291415,4.42955306945312
40017,"canadian",1991,2,17783.8333333333,71,1991-02-15,28,365,3.99239009212488,52.0436565580564,4.03202907604066
40017,"canadian",1991,3,17785.6666666667,85,1991-03-15,31,365,4.77912926139025,56.2703929163691,4.82707706286558
40017,"canadian",1991,4,17787.5,96,1991-04-15,30,365,5.39704848910752,65.6640899508081,5.4517576239423
40017,"canadian",1991,5,17789.3333333333,85,1991-05-15,31,365,4.77814420626594,56.2587946866796,4.82707706286558
40017,"canadian",1991,6,17791.1666666667,84,1991-06-15,30,365,4.72144416236521,57.4442373087767,4.77028792094951
40017,"canadian",1991,7,17793,88,1991-07-15,31,365,4.9457651885573,58.2323965749488,4.99744448861378
40017,"canadian",1991,8,17794.8333333333,85,1991-08-15,31,365,4.77666738472779,56.241406304053,4.82707706286558
40017,"canadian",1991,9,17796.6666666667,88,1991-09-15,30,365,4.94474620715489,60.1610788537178,4.99744448861378
40017,"canadian",1991,10,17798.5,96,1991-10-15,31,365,5.39371295333877,63.5066202570532,5.4517576239423
40017,"canadian",1991,11,17800.3333333333,71,1991-11-15,30,365,3.9886893503867,48.5290537630382,4.03202907604066
40017,"canadian",1991,12,17802.1666666667,93,1991-12-15,31,365,5.22408321084511,61.5093668373699,5.28139019819411
40017,"canadian",1992,1,17804,75,1992-01-15,31,366,4.21253650864974,49.7351084569615,4.25918564370492
40017,"canadian",1992,2,17820.3333333333,70,1992-02-15,29,366,3.92809711752493,49.5752946556595,3.9752399341246
40017,"canadian",1992,3,17836.6666666667,77,1992-03-15,31,366,4.31695010278452,50.967862503843,4.37276392753706
40017,"canadian",1992,4,17853,66,1992-04-15,30,366,3.69685767097967,45.1016635859519,3.74808336646033
40017,"canadian",1992,5,17869.3333333333,83,1992-05-15,31,366,4.64482912998061,54.8389503733194,4.71349877903345
40017,"canadian",1992,6,17885.6666666667,77,1992-06-15,30,366,4.30512328307583,52.5225040535251,4.37276392753706
40017,"canadian",1992,7,17902,98,1992-07-15,31,366,5.47424868729751,64.631452243577,5.56533590777443
40017,"canadian",1992,8,17918.3333333333,71,1992-08-15,31,366,3.96242210026975,46.7821447967332,4.03202907604066
