"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40017","canadian",1990,1,17609,80,1990-01-15,31,365,1,4.54313135328525,53.4917078693263
"40017","canadian",1990,2,17623,89,1990-02-15,28,365,1,5.05021846450661,65.8332049837469
"40017","canadian",1990,3,17637,89,1990-03-15,31,365,1,5.04620967284686,59.415049373842
"40017","canadian",1990,4,17652,87,1990-04-15,30,365,1,4.92861998640381,59.9648765012463
"40017","canadian",1990,5,17666,86,1990-05-15,31,365,1,4.86810823049926,57.3180485203946
"40017","canadian",1990,6,17681,95,1990-06-15,30,365,1,5.37299926474747,65.3714910544275
"40017","canadian",1990,7,17695,98,1990-07-15,31,365,1,5.53828765187906,65.2088707398664
"40017","canadian",1990,8,17709,95,1990-08-15,31,365,1,5.36450392455813,63.1627074988297
"40017","canadian",1990,9,17724,88,1990-09-15,30,365,1,4.96501918302866,60.4077333935154
"40017","canadian",1990,10,17738,100,1990-10-15,31,365,1,5.63761416168677,66.3783602908282
"40017","canadian",1990,11,17753,89,1990-11-15,30,365,1,5.01323719934659,60.9943859253835
"40017","canadian",1990,12,17767,87,1990-12-15,31,365,1,4.89671863567288,57.6549129684065
"40017","canadian",1991,1,17782,78,1991-01-15,31,365,1,4.38645821617366,51.6470080291415
"40017","canadian",1991,2,17783,71,1991-02-15,28,365,1,3.99257718045324,52.0460953880512
"40017","canadian",1991,3,17785,85,1991-03-15,31,365,1,4.77930840596008,56.2725021992074
"40017","canadian",1991,4,17787,96,1991-04-15,30,365,1,5.39720020239501,65.6659357958059
"40017","canadian",1991,5,17789,85,1991-05-15,31,365,1,4.77823373995166,56.2598488736243
"40017","canadian",1991,6,17791,84,1991-06-15,30,365,1,4.7214883930077,57.4447754482604
"40017","canadian",1991,7,17793,88,1991-07-15,31,365,1,4.9457651885573,58.2323965749488
"40017","canadian",1991,8,17794,85,1991-08-15,31,365,1,4.77689108688322,56.2440402165282
"40017","canadian",1991,9,17796,88,1991-09-15,30,365,1,4.9449314452686,60.1633325841013
"40017","canadian",1991,10,17798,96,1991-10-15,31,365,1,5.39386447915496,63.5084043513407
"40017","canadian",1991,11,17800,71,1991-11-15,30,365,1,3.98876404494382,48.5299625468165
"40017","canadian",1991,12,17802,93,1991-12-15,31,365,1,5.22413211998652,61.5099427030671
"40017","canadian",1992,1,17804,75,1992-01-15,31,366,1,4.21253650864974,49.7351084569615
"40017","canadian",1992,2,17820,70,1992-02-15,29,366,1,3.92817059483726,49.5762219900151
"40017","canadian",1992,3,17836,77,1992-03-15,31,366,1,4.3171114599686,50.9697675596293
"40017","canadian",1992,4,17853,66,1992-04-15,30,366,1,3.69685767097967,45.1016635859519
"40017","canadian",1992,5,17869,83,1992-05-15,31,366,1,4.64491577592479,54.8399733544668
"40017","canadian",1992,6,17885,77,1992-06-15,30,366,1,4.30528375733855,52.5244618395303
