fips,county_name,year,Month,FecundPopulation
40017,"canadian",1990,1,17609
40017,"canadian",1990,2,17623.416666666653
40017,"canadian",1990,3,17637.833333333347
40017,"canadian",1990,4,17652.25
40017,"canadian",1990,5,17666.666666666653
40017,"canadian",1990,6,17681.083333333347
40017,"canadian",1990,7,17695.5
40017,"canadian",1990,8,17709.916666666653
40017,"canadian",1990,9,17724.333333333347
40017,"canadian",1990,10,17738.75
40017,"canadian",1990,11,17753.166666666653
40017,"canadian",1990,12,17767.583333333347
40017,"canadian",1991,1,17782
40017,"canadian",1991,2,17783.833333333332
40017,"canadian",1991,3,17785.666666666668
40017,"canadian",1991,4,17787.5
40017,"canadian",1991,5,17789.333333333332
40017,"canadian",1991,6,17791.166666666668
40017,"canadian",1991,7,17793
40017,"canadian",1991,8,17794.833333333332
40017,"canadian",1991,9,17796.666666666668
40017,"canadian",1991,10,17798.5
40017,"canadian",1991,11,17800.333333333332
40017,"canadian",1991,12,17802.166666666668
40017,"canadian",1992,1,17804
40017,"canadian",1992,2,17820.333333333318
40017,"canadian",1992,3,17836.666666666682
40017,"canadian",1992,4,17853
40017,"canadian",1992,5,17869.333333333318
40017,"canadian",1992,6,17885.666666666682
40017,"canadian",1992,7,17902
40017,"canadian",1992,8,17918.333333333318
40017,"canadian",1992,9,17934.666666666682
40017,"canadian",1992,10,17951
40017,"canadian",1992,11,17967.333333333318
40017,"canadian",1992,12,17983.666666666682
40017,"canadian",1993,1,18000
40017,"canadian",1993,2,18012.416666666657
40017,"canadian",1993,3,18024.833333333343
40017,"canadian",1993,4,18037.25
40017,"canadian",1993,5,18049.666666666657
40017,"canadian",1993,6,18062.083333333343
40017,"canadian",1993,7,18074.5
40017,"canadian",1993,8,18086.916666666657
40017,"canadian",1993,9,18099.333333333343
40017,"canadian",1993,10,18111.75
40017,"canadian",1993,11,18124.166666666657
40017,"canadian",1993,12,18136.583333333343
40017,"canadian",1994,1,18149
40017,"canadian",1994,2,18163.33333333332
40017,"canadian",1994,3,18177.66666666668
40017,"canadian",1994,4,18192
40017,"canadian",1994,5,18206.33333333332
40017,"canadian",1994,6,18220.66666666668
40017,"canadian",1994,7,18235
40017,"canadian",1994,8,18249.33333333332
40017,"canadian",1994,9,18263.66666666668
40017,"canadian",1994,10,18278
40017,"canadian",1994,11,18292.33333333332
40017,"canadian",1994,12,18306.66666666668
40017,"canadian",1995,1,18321
40017,"canadian",1995,2,18344.916666666646
40017,"canadian",1995,3,18368.833333333354
40017,"canadian",1995,4,18392.75
40017,"canadian",1995,5,18416.666666666646
40017,"canadian",1995,6,18440.583333333354
40017,"canadian",1995,7,18464.5
40017,"canadian",1995,8,18488.416666666646
40017,"canadian",1995,9,18512.333333333354
40017,"canadian",1995,10,18536.25
40017,"canadian",1995,11,18560.166666666646
40017,"canadian",1995,12,18584.083333333354
40017,"canadian",1996,1,18608
40017,"canadian",1996,2,18619.58333333332
40017,"canadian",1996,3,18631.16666666668
40017,"canadian",1996,4,18642.75
40017,"canadian",1996,5,18654.33333333332
40017,"canadian",1996,6,18665.91666666668
40017,"canadian",1996,7,18677.5
