fips,year,county_name,fecund_population_count
40017,1990,"canadian",17609
40017,1991,"canadian",17782
40017,1992,"canadian",17804
40017,1993,"canadian",18000
40017,1994,"canadian",18149
40017,1995,"canadian",18321
40017,1996,"canadian",18608
40017,1997,"canadian",18747
40017,1998,"canadian",18796
40017,1999,"canadian",18844
40017,2000,"canadian",19062
40027,1990,"cleveland",46429
40027,1991,"cleveland",47010
40027,1992,"cleveland",47302
40027,1993,"cleveland",47873
40027,1994,"cleveland",48524
40027,1995,"cleveland",48897
40027,1996,"cleveland",49265
40027,1997,"cleveland",50210
40027,1998,"cleveland",50506
40027,1999,"cleveland",50736
40027,2000,"cleveland",50576
40031,1990,"comanche",25634
40031,1991,"comanche",25560
40031,1992,"comanche",27544
40031,1993,"comanche",27052
40031,1994,"comanche",26933
40031,1995,"comanche",26362
40031,1996,"comanche",26361
40031,1997,"comanche",26075
40031,1998,"comanche",25884
40031,1999,"comanche",25513
40031,2000,"comanche",25117
40037,1990,"creek",13273
40037,1991,"creek",13408
40037,1992,"creek",13291
40037,1993,"creek",13292
40037,1994,"creek",13315
40037,1995,"creek",13345
40037,1996,"creek",13395
40037,1997,"creek",13490
40037,1998,"creek",13535
40037,1999,"creek",13576
40037,2000,"creek",13499
40083,1990,"logan",6577
40083,1991,"logan",6722
40083,1992,"logan",6813
40083,1993,"logan",7006
40083,1994,"logan",7037
40083,1995,"logan",7066
40083,1996,"logan",7066
40083,1997,"logan",7214
40083,1998,"logan",7317
40083,1999,"logan",7421
40083,2000,"logan",7486
40087,1990,"mcclain",4981
40087,1991,"mcclain",5043
40087,1992,"mcclain",5095
40087,1993,"mcclain",5218
40087,1994,"mcclain",5345
40087,1995,"mcclain",5497
40087,1996,"mcclain",5557
40087,1997,"mcclain",5642
40087,1998,"mcclain",5719
40087,1999,"mcclain",5833
40087,2000,"mcclain",5887
40109,1990,"oklahoma",143192
40109,1991,"oklahoma",144232
40109,1992,"oklahoma",144815
40109,1993,"oklahoma",145744
40109,1994,"oklahoma",146800
40109,1995,"oklahoma",146863
40109,1996,"oklahoma",147893
40109,1997,"oklahoma",148445
40109,1998,"oklahoma",148471
40109,1999,"oklahoma",149475
40109,2000,"oklahoma",149509
40113,1990,"osage",8539
40113,1991,"osage",8536
40113,1992,"osage",8537
40113,1993,"osage",8626
40113,1994,"osage",8529
40113,1995,"osage",8492
40113,1996,"osage",8497
40113,1997,"osage",8504
40113,1998,"osage",8554
40113,1999,"osage",8507
40113,2000,"osage",8485
40125,1990,"pottawatomie",13100
40125,1991,"pottawatomie",13125
40125,1992,"pottawatomie",13189
40125,1993,"pottawatomie",13405
40125,1994,"pottawatomie",13300
40125,1995,"pottawatomie",13524
40125,1996,"pottawatomie",13822
40125,1997,"pottawatomie",13713
40125,1998,"pottawatomie",14119
40125,1999,"pottawatomie",14193
40125,2000,"pottawatomie",14307
40131,1990,"rogers",12420
40131,1991,"rogers",12614
40131,1992,"rogers",12682
40131,1993,"rogers",12941
40131,1994,"rogers",13010
40131,1995,"rogers",13184
40131,1996,"rogers",13445
40131,1997,"rogers",13766
40131,1998,"rogers",14124
40131,1999,"rogers",14491
40131,2000,"rogers",14942
40143,1990,"tulsa",121624
40143,1991,"tulsa",123258
40143,1992,"tulsa",123524
40143,1993,"tulsa",123448
40143,1994,"tulsa",122965
40143,1995,"tulsa",122395
40143,1996,"tulsa",123267
40143,1997,"tulsa",124297
40143,1998,"tulsa",125246
40143,1999,"tulsa",126065
40143,2000,"tulsa",125433
40145,1990,"wagoner",11095
40145,1991,"wagoner",11167
40145,1992,"wagoner",11157
40145,1993,"wagoner",11337
40145,1994,"wagoner",11429
40145,1995,"wagoner",11530
40145,1996,"wagoner",11743
40145,1997,"wagoner",11851
40145,1998,"wagoner",11982
40145,1999,"wagoner",12054
40145,2000,"wagoner",12087
