"fips","county_name","year","month","fecund_population","birth_count","date","days_in_month","days_in_year","stage_id","birth_rate_monthly","birth_rate"
"40017","canadian",1990,1,17609,80,1990-01-15,31,365,1,4.54313135328525,53.4917078693263
"40017","canadian",1990,2,17623,89,1990-02-15,28,365,1,5.05423363052984,65.8855455408355
"40017","canadian",1990,3,17637,89,1990-03-15,31,365,1,5.05423363052984,59.5095250046256
"40017","canadian",1990,4,17652,87,1990-04-15,30,365,1,4.94065534669771,60.1113067181555
"40017","canadian",1990,5,17666,86,1990-05-15,31,365,1,4.88386620478165,57.5035859595258
"40017","canadian",1990,6,17681,95,1990-06-15,30,365,1,5.39496848202624,65.6387831979859
"40017","canadian",1990,7,17695,98,1990-07-15,31,365,1,5.56533590777443,65.5273421399248
"40017","canadian",1990,8,17709,95,1990-08-15,31,365,1,5.39496848202624,63.521403094825
"40017","canadian",1990,9,17724,88,1990-09-15,30,365,1,4.99744448861378,60.8022412781343
"40017","canadian",1990,10,17738,100,1990-10-15,31,365,1,5.67891419160657,66.8646348366579
"40017","canadian",1990,11,17753,89,1990-11-15,30,365,1,5.05423363052984,61.4931758381131
"40017","canadian",1990,12,17767,87,1990-12-15,31,365,1,4.94065534669771,58.1722323078924
"40017","canadian",1991,1,17782,78,1991-01-15,31,365,1,4.42955306945312,52.1544151725932
"40017","canadian",1991,2,17783,71,1991-02-15,28,365,1,4.03202907604066,52.5603790269586
"40017","canadian",1991,3,17785,85,1991-03-15,31,365,1,4.82707706286558,56.8349396111592
"40017","canadian",1991,4,17787,96,1991-04-15,30,365,1,5.4517576239423,66.3297177579647
"40017","canadian",1991,5,17789,85,1991-05-15,31,365,1,4.82707706286558,56.8349396111592
"40017","canadian",1991,6,17791,84,1991-06-15,30,365,1,4.77028792094951,58.0385030382191
"40017","canadian",1991,7,17793,88,1991-07-15,31,365,1,4.99744448861378,58.840878656259
"40017","canadian",1991,8,17794,85,1991-08-15,31,365,1,4.82707706286558,56.8349396111592
"40017","canadian",1991,9,17796,88,1991-09-15,30,365,1,4.99744448861378,60.8022412781343
"40017","canadian",1991,10,17798,96,1991-10-15,31,365,1,5.4517576239423,64.1900494431916
"40017","canadian",1991,11,17800,71,1991-11-15,30,365,1,4.03202907604066,49.0563537584947
"40017","canadian",1991,12,17802,93,1991-12-15,31,365,1,5.28139019819411,62.1841103980919
"40017","canadian",1992,1,17804,75,1992-01-15,31,366,1,4.25918564370492,50.2858692127743
"40017","canadian",1992,2,17820,70,1992-02-15,29,366,1,3.9752399341246,50.1702695134346
"40017","canadian",1992,3,17836,77,1992-03-15,31,366,1,4.37276392753706,51.6268257251149
"40017","canadian",1992,4,17853,66,1992-04-15,30,366,1,3.74808336646033,45.7266170708161
"40017","canadian",1992,5,17869,83,1992-05-15,31,366,1,4.71349877903345,55.6496952621369
"40017","canadian",1992,6,17885,77,1992-06-15,30,366,1,4.37276392753706,53.3477199159521
"40017","canadian",1992,7,17902,98,1992-07-15,31,366,1,5.56533590777443,65.7068691046917
"40017","canadian",1992,8,17918,71,1992-08-15,31,366,1,4.03202907604066,47.603956188093
"40017","canadian",1992,9,17934,93,1992-09-15,30,366,1,5.28139019819411,64.4329604179681
"40017","canadian",1992,10,17951,80,1992-10-15,31,366,1,4.54313135328525,53.6382604936259
"40017","canadian",1992,11,17967,66,1992-11-15,30,366,1,3.74808336646033,45.7266170708161
"40017","canadian",1992,12,17983,86,1992-12-15,31,366,1,4.88386620478165,57.6611300306478
"40017","canadian",1993,1,18000,82,1993-01-15,31,365,1,4.65670963711738,54.8290005660595
"40017","canadian",1993,2,18012,68,1993-02-15,28,365,1,3.86166165029246,50.3395179413125
"40017","canadian",1993,3,18024,79,1993-03-15,31,365,1,4.48634221136919,52.8230615209598
"40017","canadian",1993,4,18037,76,1993-04-15,30,365,1,4.31597478562099,52.5110265583887
"40017","canadian",1993,5,18049,96,1993-05-15,31,365,1,5.4517576239423,64.1900494431916
"40017","canadian",1993,6,18062,96,1993-06-15,30,365,1,5.4517576239423,66.3297177579647
