fips,county_name,year,month,fecund_population,birth_count,date,days_in_month,days_in_year,stage_id,birth_rate_monthly,birth_rate
40017,canadian,1990,1,17609,80,1990-01-15,31,365,1,4.54,53.49
40017,canadian,1990,2,17623,89,1990-02-15,28,365,1,5.05,65.83
40017,canadian,1990,3,17637,89,1990-03-15,31,365,1,5.05,59.42
40017,canadian,1990,4,17652,87,1990-04-15,30,365,1,4.93,59.96
40017,canadian,1990,5,17666,86,1990-05-15,31,365,1,4.87,57.32
40017,canadian,1990,6,17681,95,1990-06-15,30,365,1,5.37,65.37
40017,canadian,1990,7,17695,98,1990-07-15,31,365,1,5.54,65.21
40017,canadian,1990,8,17709,95,1990-08-15,31,365,1,5.36,63.16
40017,canadian,1990,9,17724,88,1990-09-15,30,365,1,4.97,60.41
40017,canadian,1990,10,17738,100,1990-10-15,31,365,1,5.64,66.38
40017,canadian,1990,11,17753,89,1990-11-15,30,365,1,5.01,60.99
40017,canadian,1990,12,17767,87,1990-12-15,31,365,1,4.9,57.65
40017,canadian,1991,1,17782,78,1991-01-15,31,365,1,4.39,51.65
40017,canadian,1991,2,17783,71,1991-02-15,28,365,1,3.99,52.05
40017,canadian,1991,3,17785,85,1991-03-15,31,365,1,4.78,56.27
40017,canadian,1991,4,17787,96,1991-04-15,30,365,1,5.4,65.67
40017,canadian,1991,5,17789,85,1991-05-15,31,365,1,4.78,56.26
40017,canadian,1991,6,17791,84,1991-06-15,30,365,1,4.72,57.44
40017,canadian,1991,7,17793,88,1991-07-15,31,365,1,4.95,58.23
40017,canadian,1991,8,17794,85,1991-08-15,31,365,1,4.78,56.24
40017,canadian,1991,9,17796,88,1991-09-15,30,365,1,4.94,60.16
40017,canadian,1991,10,17798,96,1991-10-15,31,365,1,5.39,63.51
40017,canadian,1991,11,17800,71,1991-11-15,30,365,1,3.99,48.53
40017,canadian,1991,12,17802,93,1991-12-15,31,365,1,5.22,61.51
40017,canadian,1992,1,17804,75,1992-01-15,31,366,1,4.21,49.74
40017,canadian,1992,2,17820,70,1992-02-15,29,366,1,3.93,49.58
40017,canadian,1992,3,17836,77,1992-03-15,31,366,1,4.32,50.97
40017,canadian,1992,4,17853,66,1992-04-15,30,366,1,3.7,45.1
40017,canadian,1992,5,17869,83,1992-05-15,31,366,1,4.64,54.84
40017,canadian,1992,6,17885,77,1992-06-15,30,366,1,4.31,52.52
40017,canadian,1992,7,17902,98,1992-07-15,31,366,1,5.47,64.63
40017,canadian,1992,8,17918,71,1992-08-15,31,366,1,3.96,46.78
40017,canadian,1992,9,17934,93,1992-09-15,30,366,1,5.19,63.27
40017,canadian,1992,10,17951,80,1992-10-15,31,366,1,4.46,52.62
40017,canadian,1992,11,17967,66,1992-11-15,30,366,1,3.67,44.82
40017,canadian,1992,12,17983,86,1992-12-15,31,366,1,4.78,56.46
40017,canadian,1993,1,18000,82,1993-01-15,31,365,1,4.56,53.64
40017,canadian,1993,2,18012,68,1993-02-15,28,365,1,3.78,49.21
40017,canadian,1993,3,18024,79,1993-03-15,31,365,1,4.38,51.61
40017,canadian,1993,4,18037,76,1993-04-15,30,365,1,4.21,51.26
40017,canadian,1993,5,18049,96,1993-05-15,31,365,1,5.32,62.63
40017,canadian,1993,6,18062,96,1993-06-15,30,365,1,5.32,64.67
40017,canadian,1993,7,18074,79,1993-07-15,31,365,1,4.37,51.46
40017,canadian,1993,8,18086,78,1993-08-15,31,365,1,4.31,50.78
40017,canadian,1993,9,18099,91,1993-09-15,30,365,1,5.03,61.17
40017,canadian,1993,10,18111,71,1993-10-15,31,365,1,3.92,46.16
40017,canadian,1993,11,18124,78,1993-11-15,30,365,1,4.3,52.36
40017,canadian,1993,12,18136,88,1993-12-15,31,365,1,4.85,57.13
40017,canadian,1994,1,18149,86,1994-01-15,31,365,1,4.74,55.79
40017,canadian,1994,2,18163,84,1994-02-15,28,365,1,4.62,60.29
40017,canadian,1994,3,18177,84,1994-03-15,31,365,1,4.62,54.41
40017,canadian,1994,4,18192,68,1994-04-15,30,365,1,3.74,45.48
40017,canadian,1994,5,18206,83,1994-05-15,31,365,1,4.56,53.68
40017,canadian,1994,6,18220,102,1994-06-15,30,365,1,5.6,68.11
40017,canadian,1994,7,18235,83,1994-07-15,31,365,1,4.55,53.59
40017,canadian,1994,8,18249,94,1994-08-15,31,365,1,5.15,60.65
40017,canadian,1994,9,18263,103,1994-09-15,30,365,1,5.64,68.62
40017,canadian,1994,10,18278,83,1994-10-15,31,365,1,4.54,53.47
40017,canadian,1994,11,18292,85,1994-11-15,30,365,1,4.65,56.54
